Rank,Country,ISO3,Region,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Combat Tanks,Armored Fighting Vehicles,Total Naval Assets,Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
1,United States,USA,Northern America,323995528,2363675,1373650,990025,13762,6065,5884,41062,415,158600000,393,24,6586610,224792,587800,17910000,117600,18560000,9826675,19924,12048,41009
2,Russia,RUS,Eastern Europe,142355415,3371027,798527,2572500,3794,1389,20216,31298,352,77410000,1143,7,982000,87157,44600,514800,365500,3745000,17098242,37653,22408,102000
3,China,CHN,Eastern Asia,1373541278,3712500,2260000,1452500,2955,912,6457,4788,714,805900000,2030,15,3860800,86000,161700,983500,3092000,21270000,9596961,14500,22457,110000
4,India,IND,Southern Asia,1266883598,4207250,1362500,2844750,2102,666,4426,6704,295,513700000,340,7,3320410,63974,51000,507000,359100,8721000,3287263,7000,13888,14500
5,France,FRA,Western Europe,66836154,387635,204000,183635,1305,610,406,6863,118,30480000,162,14,951200,29640,35000,5360000,138200,2737000,643801,4853,4072,8501
6,United Kingdom,UKD,Northern Europe,64430428,232675,151175,81500,856,347,249,5948,76,33170000,504,14,394428,16454,45700,8126000,129600,2788000,243610,12429,443,3200
7,Japan,JPN,Eastern Asia,126702133,311875,248575,63300,1594,659,700,2850,131,65930000,684,10,1210251,27182,43800,3240000,1233000,4932000,377915,29751,0,1770
8,Turkey,TUR,Western Asia,80274604,743415,382850,360565,1018,455,2445,7550,194,30240000,629,9,352046,8699,8208,410400,115000,1670000,783562,7200,2816,1200
9,Germany,GER,Western Europe,80722792,210000,180000,30000,698,375,543,5869,81,45300000,427,13,644480,41981,39200,5326000,173700,3979000,357022,2389,3694,7467
10,Egypt,EGP,Northern Africa,94666993,1329250,454250,875000,1132,257,4110,13949,319,31960000,67,7,65050,5083,4400,50670,15060,1105000,1001450,2450,2612,3500
11,Italy,ITA,Southern Europe,62007540,267500,247500,20000,822,430,200,6972,143,25600000,681,9,487700,20255,34000,2444000,130600,2221000,301340,7600,1836,2400
12,South Korea,SKO,Eastern Asia,50924172,5829750,627500,5202250,1477,709,2654,2660,166,27250000,786,8,103029,3381,43800,385600,372700,1929000,99720,2413,237,1600
13,Pakistan,PAK,Southern Asia,201995540,919000,637000,282000,951,316,2924,2828,197,65100000,11,2,260760,7791,7000,64040,20530,988200,796095,1046,7257,25220
14,Indonesia,INO,South-eastern Asia,258316051,975750,435750,540000,441,147,418,1089,221,123700000,1340,9,437759,5042,6900,344700,106400,3028000,1904569,54716,2958,21579
15,Israel,ISR,Western Asia,8174527,718250,168250,550000,652,143,2620,10185,65,3927000,8,4,18290,975,15500,91080,97220,297000,20770,273,1068,0
16,Vietnam,VTN,South-eastern Asia,95261021,5488500,448500,5040000,278,137,1545,3150,65,54930000,579,6,180549,2632,3365,78880,34660,594900,331210,3444,4616,17702
17,Brazil,BRA,South America,205823665,1987000,334500,1652500,697,230,469,1707,110,110400000,109,15,1751868,28538,24500,544100,352100,3135000,8514877,7491,16145,50000
18,Taiwan,TAI,Eastern Asia,23464787,1932500,257500,1675000,850,345,2005,4350,87,11680000,112,4,41475,1580,10725,155400,456900,1125000,35980,1566,0,3720
19,Poland,POL,Eastern Europe,38523261,184650,109650,75000,465,211,1065,2608,83,17780000,9,4,423997,19428,9360,344800,90210,1052000,312685,440,2845,3997
